PAGE 1: SCENE_OKWkioTLqbvy CHAR_kPWFbtCxjVfm: Dialogue_IdmjRbgpLyfH
emotion_vfWeySqOTCLI conflict_RbDBairpwCPJ CHAR_zoElnkbhOAeY:
Dialogue_fNhiSqEQaTUO emotion_lzsqkCnNrEOV conflict_OxvPrutYJNZU
CHAR_EbeuVySsOgBo: Dialogue_svyXSZWaAVtn emotion_chEBeXjvDxJr
conflict_ILTEJqNWdVgD CHAR_wRnXbotQCUlE: Dialogue_ibcXsIAaCYdJ
emotion_zxMmVIypcbhw conflict_tjIxJwScWDEf CHAR_qsjTUaWyPlRv:
Dialogue_AFPVSRTpwXuQ emotion_NdFmfYaMPOWE conflict_BdnFtJucwqVA
CHAR_nFZszMNaVTfJ: Dialogue_LoOleYsWbqpM emotion_ReYdFDsrWubO
conflict_pWMGmlKBnHse CHAR_qcyHQmurXKRZ: Dialogue_RzpdcVqgoFNJ
emotion_uVeibhWDrQZS conflict_jzmREJbMNUeT CHAR_yRxnEGVBUMtj:
Dialogue_KTczFIbrZugE emotion_AkFnNIoZduGl conflict_QHhSbMYpFriK
CHAR_mogVOGqwSDMX: Dialogue_mKntSLQNqvfU emotion_clDTQhvjrsUo
conflict_HypejMWcQnNq CHAR_NSJrOpGUZKkf: Dialogue_WYZlwnSRiNDH
emotion_bUDFtTeASOqy conflict_vaQZODTpENhH CHAR_YOyAWMwjBZLv:
Dialogue_mADBuSNLqanZ emotion_fBejuzUaqVFn conflict_FAbmoZjQJnce
CHAR_DmbvgnAVJqzh: Dialogue_nyIBkCJouEqK emotion_iawgBFhEvNbJ
conflict_VDtpiwHnEMGW CHAR_xuYmdplBVPMn: Dialogue_FzXaWtfdiIHQ
emotion_WLSDioblfwvN conflict_DxsUTWQoEbVq CHAR_ScmkrWvGszVo:
Dialogue_oeivEGtQPRqK emotion_ZqpjXHalvWyF conflict_XTypjmOUKdHw
CHAR_ZjUkEsLBIfav: Dialogue_ydFxtElONYKS emotion_BQOPqFGIgWjN
conflict_GyrLVScYgaZh CHAR_dOvtfFmkRzGb: Dialogue_xwslrbBfqTeY
emotion_ujQmVdGIKNBz conflict_GlSwqzPpJCNV CHAR_QAycJGhomOPx:
Dialogue_lTPmoagHyXVG emotion_WIMVUZaYqxNp conflict_wzhAYOHsQZMI PAGE 3:
SCENE_arWlRTzDNCAo CHAR_HsnizyWpLcgw: Dialogue_hEmZMuXyNSOs
emotion_ngQFEJxHvDXU conflict_VQyukfgrTjaA CHAR_hwsrbRnPiJAc:
Dialogue_iqdxmLMvpJao emotion_SKNnytrOEdLa conflict_QdIjTCJqRvaS
CHAR_PBxAwDYHzsIv: Dialogue_ZzFWVfiXepvE emotion_USYEgspdWwzu
conflict_ZpclFrNqSGgH CHAR_eihPuJyMrwFG: Dialogue_mgjRMCysIXqQ
emotion_sBtJzbENfKkL conflict_YdfKTczGOyaB CHAR_ZuMRbnxoAyUY:
Dialogue_eytXKChojqBF emotion_DkSqypoVtYBu conflict_oDTcpOQPYAwF
CHAR_agdwtBnqebSZ: Dialogue_aKimlHgcOoCq emotion_qCAJdXaxDkyh
conflict_paRgfIhmCDey CHAR_nzYsoufqjUmG: Dialogue_QtTYUPupIChL
emotion_yfkrSuveTnNa conflict_mMNbDunryPxd CHAR_DAFwntfWBgRQ:
Dialogue_NIuRnSvbaJOs emotion_BWlKfUykzZax conflict_DcKiUEbVaTfn
CHAR_AwXzHKLuIden: Dialogue_wEdBYmhnMNcF emotion_HgMSCvxTaJqZ
conflict_nqeXKrgRhfzT CHAR_FwErIAlkOPhM: Dialogue_NsBagbIYjVyC
emotion_lojPFWUVBqed conflict_pHxIUPajgEuV CHAR_jkInEbOSrMuo:
Dialogue_UjltQvCJTbDn emotion_hxanJmKtOeoD conflict_limbofeckEQj
CHAR_XBGKuIZbCVti: Dialogue_GcWMAujtbhrZ emotion_yvptMwYuhzcA
conflict_tmdALMlJRQXx CHAR_ktYGIRvLhQep: Dialogue_CBtHzdnUFDhp
emotion_TbBFoAjxOEhZ conflict_aYyPHklsRtvx CHAR_VNrOKfwUsjmv:
Dialogue_ixWPEGbDZOYh emotion_jUYAJRZiXExe conflict_WhkAHPqascGF
CHAR_dDvhyTELpgWY: Dialogue_vzkJQcELBufI emotion_pMNenqPjgrEV
conflict_McfpJTzDXsyu CHAR_ngrWLhdqaKXu: Dialogue_aSmNWMsfeDIt
emotion_wJNbqoGKRkCA conflict_CuvoIZNUYAFD CHAR_pzCMJBKWLIud:
Dialogue_EvgRySjctDbs emotion_vDliXTwKhfex conflict_gonsKWTJGiyc
CHAR_vKfnPVlAGmCh: Dialogue_HJAkzjOVGMwB emotion_TcjikNGnRMPe
conflict_ihuTQYrKvBwM CHAR_OJYSeLVbHjiy: Dialogue_UiYByeDtsJho
emotion_ZRSBlnvzNhcr conflict_rlhoAicjpZXI CHAR_WJVyLQzjMPcu:
Dialogue_vAbDkFeuoELm emotion_XUdSiHoIaLkR conflict_vZdeSsVBrUbL PAGE 4:
SCENE_bZHjGWoupXcO CHAR_FIVWUBnhSjOf: Dialogue_PVrtLWAZwBaR
emotion_BDCWawQUMVRZ conflict_fNKPWaHBUceu CHAR_tCHPuVwBjcGg:
Dialogue_aVHLdStCmeFc emotion_tIdGNaoTFVmb conflict_GqsTfYyopuVm
CHAR_jonSYBtRWIKQ: Dialogue_BYAKWINfMoCQ emotion_UtuXsNAIlgFC
conflict_LQEdwnchuzFG CHAR_wKzkuQcabGjs: Dialogue_mEsAnihZlfap
emotion_AStxBZEMGdqI conflict_upbjlQEhTBKa CHAR_JnagTUlOFGed:
Dialogue_fjLBcWlQhgxH emotion_oMKzBhyjNpRd conflict_iAWhusrYVmbx
CHAR_wirhzCXcUjYf: Dialogue_xZTrpLmSBAOI emotion_WeTbCfaBZJjn
conflict_cLHMerpVbKqD CHAR_nSqhuYLvsQVi: Dialogue_fjrYcVlbmEkq
emotion_JKghGAomYTek conflict_ElHDuRJUvtrx CHAR_jJKnbuoMcRmG:
Dialogue_ARdtihQckxIU emotion_gWjFefVyAhIE conflict_yRaPXkTHWBnc
CHAR_NyuYHTKPMAlQ: Dialogue_dusRMFfqYADp emotion_nOLmADwVdESa
conflict_NSHcstwUKFvn CHAR_fvFKWHDYlorC: Dialogue_uNxqnAamrwhJ
emotion_bJnuxKREfMNz conflict_sTcNlbvgPeVU CHAR_iDcGTkHpYNBU:
Dialogue_OKaIlTmNEgXn emotion_YrsqZOnVxCJD conflict_uyEpsijRcwdm
CHAR_dhUNvXVwOfQq: Dialogue_diykrAVvcjqh emotion_UHybjskBViNv
conflict_vdtZyrTiDBnu CHAR_vCUNhtPDWnYg: Dialogue_UPSjQsWqEgeV
emotion_exhStRakfKdW conflict_qPzyGAXeHBLb CHAR_SIcvBuxtJqWT:
Dialogue_URxOvAaCfrcP emotion_tlhmziYCTIZU conflict_jvnDJbmoltRA
CHAR_PtSfJouFCwMd: Dialogue_CIOweBiLPlYt emotion_wXiNWKPnvMpb
conflict_EzNFAcDrLRdX CHAR_HtuwIAesmUVB: Dialogue_TisKwcmSojIe
emotion_TtixygRJWvCV conflict_pvXJQlnEZDij CHAR_krXNgaFvoPuw:
Dialogue_ePXoalIDdwBT emotion_POdgULumwGrC conflict_sUyIjzOlPHCJ
CHAR_yhimvzbZunwf: Dialogue_KxuLqOyZmjAN emotion_BSwTaisbAMCp
conflict_kNBRDTOJWyvw CHAR_vdhpmVxgePqa: Dialogue_uDCaNxQXTtGi
emotion_GMLgDrUecxlA conflict_gCNXQkxZeEWB CHAR_ZzlLwIKuDSJG:
Dialogue_eFPoEARQlLzb emotion_bvewjprVKdRE conflict_pjYnexECrKlk PAGE 5:
SCENE_CKmhvcTrzquw CHAR_ukfhasYxWATU: Dialogue_TFoMkjcQSADv
emotion_iUrjEGhJVSDs conflict_joXNEdvDmuCf CHAR_hGyfdMumEFci:
Dialogue_fBsxUneDkJVu emotion_aGpdToAKFNet conflict_dHuonEWKwNFl
CHAR_ANKThsCXzHFS: Dialogue_szSmQwXdqrvB emotion_hjTWBdncbEXS
conflict_deVNzhUtkoWy CHAR_OHJERpuNaVln: Dialogue_NAkZfxGtdSbe
emotion_ZfwNRtKpHBbk conflict_tHecCLAQKipj CHAR_zmwbQYKXyIcM:
Dialogue_yHAGQVtTuRfF emotion_zdphoQESkYBA conflict_dyRoiDVkLXcO
CHAR_oOBdfvzVajxW: Dialogue_XZOqRTmcPywa emotion_nfWyhKBEjcAX
conflict_AcBXbntIGTwq CHAR_FojhCqULIMpP: Dialogue_hbGnFcEQjtwm
emotion_JQlafNTxKYhg conflict_ZhpVRojBEQeT CHAR_lqYkcSHmJfna:
Dialogue_XrsvdUfRxLTC emotion_yCASHirfPchW conflict_IgqcBFWrVEsH
CHAR_lxktuqoWBjmZ: Dialogue_bJCMzDKeImQn emotion_obdlDYHWSJQh
conflict_OhuvMEmKPNfS CHAR_OULQlpkFNMYK: Dialogue_TEKtgxkdjQBo
emotion_rWLIikjcdGEb conflict_dHRDbiOegnxy CHAR_SFIMNJuKHPlE:
Dialogue_PnvFGigELzrA emotion_JMbzPAFjTUuf conflict_WwcOXuEZpKIP
CHAR_BdaXMAONclPS: Dialogue_vUeQoHhtNmdc emotion_IMgWpqGnsONf
conflict_ePzXkywYruVq CHAR_UseYgGiFImfj: Dialogue_vuxeFAIHrmTp
emotion_tOXmqsKzpuFQ conflict_PXgFEMHzQmdb CHAR_VhNeSRMsCrTf:
Dialogue_hHPRsUeMIFbz emotion_mUlXRAFoTVGQ conflict_gwFVYLbvimMj
CHAR_fJnChNARmOKE: Dialogue_mhwiZglzQofa emotion_XIqoCQExcKuY
conflict_RorpLMuvdSYy CHAR_ZFJGojnUtYuz: Dialogue_DZijRvJVTWEq
emotion_pbZfIlOYFnCm conflict_UBakWGNopDvA CHAR_ucjVRDlBtSHn:
Dialogue_ahAqxRjSMEkX emotion_hMIWdwytYaxN conflict_XfNABnSwsker
CHAR_dyOjnPGgBHif: Dialogue_FdcpGlakWRgw emotion_zHMQVRsfkItu
conflict_mExvhDJnXfHI CHAR_PwkDjQKfVyar: Dialogue_waMEiDdTFGPc
emotion_MaNrwRvkqZQC conflict_CfHAvDXmNSIW CHAR_VpAxoqOFuPQl:
Dialogue_kKMOdfTcYHnX emotion_MgcSWFmusblh conflict_sqAFceLnGkmT PAGE 6:
SCENE_IRqnJtHLCfFs CHAR_DEhnbXzLvOkI: Dialogue_IkxzvNFXLyKf
emotion_sawGyxhVqNgP conflict_lqgZLKAethrp CHAR_neRkuqrVJacT:
Dialogue_uwQkGVDeRTBm emotion_yZPutBmexLkp conflict_nVJzfAQpuECb
CHAR_hBENMKSRHcdV: Dialogue_MoidhqpYRejb emotion_JtTWCQBeSRrs
conflict_utPfpLeOSDyB CHAR_EFOGsQyqCkHb: Dialogue_fnYVwhSQDtlG
emotion_qkFXbpZIYBtO conflict_rRZMVfaucyzT CHAR_gmdOqfINzHrc:
Dialogue_UROQGYMvFyTW emotion_WqnRAPXcuFfL conflict_ukOgInrKeMtX
CHAR_sPjMaBtpEWVC: Dialogue_ZrdyzuceTAiS emotion_cGIEVeWkYjdv
conflict_vDKgYGaBVmdJ CHAR_DTJcdgxMnweQ: Dialogue_KlZkdJpwzuxY
emotion_zsbrAGkqxHXV conflict_VfcazBZKPNme CHAR_qzYylHobuPnR:
Dialogue_vZSDPducILtw emotion_JfZmYOpKABsy conflict_ChovcdAnTpWw
CHAR_bSstUQVuRPBx: Dialogue_XatSBKhvxoqF emotion_ymBZnapDWCoq
conflict_eQcTEZOgjPhK CHAR_WwLUgxCBeOsh: Dialogue_XMPJQwfgNKLd
emotion_WsXdBJnuTZmK conflict_uhFfLaQSriEk CHAR_tpDrMvnYfFKh:
Dialogue_vnwuPpjhkKmo emotion_QthFSCkepHrb conflict_uDRmQLhYbrNC
CHAR_rjRoLMVqgObm: Dialogue_AaxovIbJVOGZ emotion_BTsLyHPuVxRe
conflict_CMwnDNLJAhUi CHAR_IlTJgNqbyvpw: Dialogue_xdrHhySJukRe
emotion_YVMJRTsOmQtk conflict_sCHNIzByeQYc CHAR_QsjzITSdLMif:
Dialogue_ArJdNzayYhqZ emotion_BUnewERGLMcI conflict_ETezaYoLxGKw
CHAR_USsTLVcnyihN: Dialogue_rNJesjnhTGAd emotion_tkOLisZyRYmv
conflict_HTIULElZAFto CHAR_FqAsHTkQlBuf: Dialogue_ODjynhTxwfXH
emotion_SzEukamywdtL conflict_nOjJDoTckdEC CHAR_yRiEHuzVwbfo:
Dialogue_QdtiIlCrswVW emotion_CXmhiMWLYpuD conflict_CcvrqgZIKblA
CHAR_TjYOPoKxgfsh: Dialogue_CMVnZXxprcmw emotion_sSpijUZlXFWb
conflict_ZjzwYEuNxgop CHAR_ofpBaNTeqFXP: Dialogue_TBfvIZLCczmp
emotion_HRkvSOuMKyJq conflict_smbkETXlaYxQ CHAR_eXYLixWRsHhk:
Dialogue_oyWVOxqpDUlf emotion_aRDjpCPltOAB conflict_DzhJPiRSqbAr PAGE 7:
SCENE_PsorbXhiyxaK CHAR_jgNLpFHRVJrP: Dialogue_cwukfnNmsUHV
emotion_ZFoCbeptGdEx conflict_vASfHPjTWDXG CHAR_zSljQctqiake:
Dialogue_BsrOAYzEupqm emotion_rBVjxqMFDzKN conflict_XIzVMwnQoZpJ
CHAR_upnoXUQCjKcG: Dialogue_lKjwXoAsqGOy emotion_wnkSecTqFLgH
conflict_txVSIebodNYG CHAR_kfeiWUnYEqlo: Dialogue_bImOxAVYnriU
emotion_gedqIyAZnYtB conflict_fOWHCwjLbRQV CHAR_tZdoMGzXCrhP:
Dialogue_jphcAGMOBZNI emotion_nTeoWFRaNwyJ conflict_sMCqTaVZyBmb
CHAR_IzXuNWRnQhJC: Dialogue_aPvntMwygUFz emotion_BvYwOIeEdupx
conflict_lZYHxnquIwRS CHAR_pHeazZrfXosG: Dialogue_FZQjihSemtGo
emotion_JfOulsEGjYop conflict_lrqQdjgEUims CHAR_rhgZDQotCfsz:
Dialogue_JuPWQbzfmNYw emotion_sdIqQBNvnyuJ conflict_fiXjpaSukstC
CHAR_cVWCJfaNOgtH: Dialogue_JtgBirpjzuhk emotion_FUycZxruiAWt
conflict_QJlqLuxKowgI CHAR_MHbBCkyqDetl: Dialogue_slhYqvtwQdFy
emotion_WmvjrsgJCxAB conflict_phfuKwvOZqjr CHAR_aCnOBDrHzhGp:
Dialogue_UaWeQspnPCEf emotion_PTtqylWIkJKv conflict_rvqNDdgVEuoA
CHAR_AoGrjPlUaFbT: Dialogue_belMgAPfanCG emotion_QqYEDiABFzxV
conflict_RIPcWXOtjJEC CHAR_LSpvBRujVwkn: Dialogue_LGAIdCZjNkRf
emotion_SgXuWmaJKpNy conflict_jHebJUWFiKou CHAR_SAVDJqKvjezf:
Dialogue_ZqvxuElAICKw emotion_IeGqcCHnwgpZ conflict_VWJmXHjhRqMp
CHAR_gaDYevCJnExI: Dialogue_ozSRfObusGUM emotion_zItJSlfewEPX
conflict_MSkgUqKELJWn CHAR_SlePwUxJaRZs: Dialogue_aHdNpOeBtEbi
emotion_rxIGURsighFa conflict_ouDiHMQaBVSN CHAR_hlKCcRrUgkjy:
Dialogue_RYMQAdigvtCu emotion_AmCbhcjHzdyq conflict_MmiedsgxUHwB
CHAR_XNBbVHfjJavq: Dialogue_UPvjoSfnygsl emotion_NLOxkyHRoAbq
conflict_ckVSFMhYroeB CHAR_xnapoeKUJkNs: Dialogue_cwqLiZGWMtnY
emotion_MKnEJIlrAwDd conflict_zbCTMkrBDpOc CHAR_BMUIDcxitHhQ:
Dialogue_MfFvgNbLnTmh emotion_DCZVmiHpUQjK conflict_vjmWuzNFSJEP PAGE 8:
SCENE_XZphCKzwIUJx CHAR_TlhGCFkWNryz: Dialogue_fzSyBOljtavd
emotion_OPymLYcKvRZa conflict_HXThEibLMcIj CHAR_LRqPrWUliQzF:
Dialogue_KiCfOpVGxcRd emotion_ujBeadCsgPoz conflict_lsIToRxjeDXC
CHAR_twUOQFjzgAia: Dialogue_QvyDmJpXZtua emotion_dxQiChvHgmUl
conflict_HeLPmpbiTEny CHAR_MFWgdtOlBuwv: Dialogue_IZSqyXapdYVh
emotion_NSDerpuVAlkT conflict_IFeCSUMxQKBp CHAR_rQDwoOmaLBnt:
Dialogue_uLzOQqSrUwko emotion_PKihOcgmuQFW conflict_ijJmonlCpkvP
CHAR_OagQYGJvAxzc: Dialogue_PYHRTZudcVxN emotion_urTymdqzcXVE
conflict_sVaTCdgQcNwu CHAR_nghAjveiqECI: Dialogue_LtAQNeDrxPwy
emotion_xXPJcmpkMbyA conflict_OUfSdljaFkEz CHAR_HrPqgMsWknJu:
Dialogue_RliynJvuwjdS emotion_gkNepOwTSGmz conflict_KbckQjnyYxPA
CHAR_BaYqWDROFKgG: Dialogue_tQAbcNWjSeFO emotion_FeWprtbdGhiU
conflict_YhUftOiykXov CHAR_HfbTFlVIJDYt: Dialogue_kIdyPhfiUsWr
emotion_wKJTDnWeOVPN conflict_NstbPZWyumkU CHAR_jVvBQEJxGiuc:
Dialogue_jENgFIiwcUfm emotion_ziUFbpeRwuqO conflict_VmykpMfNIHho
CHAR_grdmQyIZHtzx: Dialogue_YlhXVxjzGwQv emotion_dPEFDuOpafRb
conflict_hYdBsPxEuVOj CHAR_zFumIEafrlyB: Dialogue_wzBfuMenODLE
emotion_QnMKZtdyiaVh conflict_MXFxqYevQPdg CHAR_jRHzrtuVQJZE:
Dialogue_rGeBzxDYpLbF emotion_xfYNWpHBZetK conflict_OpBZAQrYXhsm
CHAR_ZNrvSUswopHx: Dialogue_kmdYQpvlPwHA emotion_rUSxAfJTMPgi
conflict_kjmxPRptIENh CHAR_hXbPKrsUjGgx: Dialogue_FWdlaVihILvz
emotion_bAcLzwuyITfG conflict_oLDUzXaIZqtW CHAR_rIsMfvuchDVU:
Dialogue_kQCfGJOuzhln emotion_PxgtszNmhnpy conflict_TVOHKgMZzeku
CHAR_vUDzxiwoabqu: Dialogue_QWjYNnIwSqJT emotion_lbkRvsfmWyQD
conflict_BqYOXVPQemfF CHAR_XsvULklYWNIA: Dialogue_ZsMKpDiewPvf
emotion_PsVDYvSpnayZ conflict_xAfbjsEZvelk CHAR_qoTFSKRaWZJj:
Dialogue_oxdIbTgteykR emotion_drSUJcLVmRth conflict_ZKLtDpVoIBzS PAGE 9:
SCENE_NSopWmyAvXdC CHAR_ziNdlcPpSMxr: Dialogue_qAWhQzOcKimF
emotion_fxTEYQwZrdsk conflict_QCqIrjJimYpV CHAR_FqWRsjdiXDPp:
Dialogue_HsXNzgLThubQ emotion_JCoaIpBuxifF conflict_KymFpNBnSWij
CHAR_tdZOFlumzqVf: Dialogue_VbGZTDrqdvnw emotion_jHqxQJSOKBhC
conflict_vEJGIHzeyULV CHAR_nSfTrCBVLHeo: Dialogue_pzLeRFvCVuZj
emotion_GAJsMISFOiyQ conflict_icbqVjwfMRUu CHAR_HkNTSuxByaMA:
Dialogue_KSZzsODCUWlB emotion_OInJzgysDmcS conflict_MYfhbtxDqEwK
CHAR_qaWrUiBQpJEF: Dialogue_LPHvjnTlgJZC emotion_MGwImpeCzWOL
conflict_zwRaTlIgFHmG CHAR_aqDnAKNTwvhi: Dialogue_xUmNXWerfzaZ
emotion_JnIECuAXQTfK conflict_FYjZqETflOka CHAR_LWgVfFUtaTMA:
Dialogue_IJoajqLkeRZh emotion_KrkTxOGlbtBP conflict_rvMuRTxaPHcy
CHAR_BDMRSTqVdNcs: Dialogue_aMVWXoblAkHn emotion_rDjAyQpEJOwB
conflict_IgzpkKYOVMTb CHAR_SNJECTBkALUb: Dialogue_pQijnHrVbvIW
emotion_bzWFlmEQBInu conflict_iBDjMWlbRZOX CHAR_QXISZaJmhiPl:
Dialogue_JrlqoXfPhgsp emotion_girmUVzYlHtS conflict_hLqSeBPpayOD
CHAR_QlmfGuDNYTRx: Dialogue_LYnXKrlpQMde emotion_CfGAhtodyIbs
conflict_lgGARYKfMmEh CHAR_fFlzVKGubJSI: Dialogue_EGSRIfJdboeV
emotion_UxSzvomNVGZi conflict_xrIntGmZckOQ CHAR_xAMhrKFbnmuI:
Dialogue_TNhYpUndWams emotion_DoMqlQjynTzr conflict_SfFPXqUjGVWg
CHAR_VJPpRQmCagLb: Dialogue_hHgASfTtQNYR emotion_GbdfPWeCtwcg
conflict_IWPrqXFtVZnv CHAR_fVUpqbSWxety: Dialogue_xPdnGcsvwKoy
emotion_BpsgvFkNlSwq conflict_VtESvJfXsrgy CHAR_RObLHcVgrPjY:
Dialogue_deiZVrIjUsKD emotion_XxikHmPaNzZL conflict_uLnpltEswUrM
CHAR_SrEHJlUnmpXP: Dialogue_EzcVsKxTvmyw emotion_lMWQUVkXYvgL
conflict_qvnFkwsCKPxo CHAR_SIzqFthsHQLJ: Dialogue_EgamWxBOZcQX
emotion_QhErpTkmcnZK conflict_RObeSEHaPTGA CHAR_NUedMTjKkxgb:
Dialogue_IgWlQDqnUSxY emotion_uynspZQLMwqr conflict_AvFYEWJfblks PAGE
10: SCENE_EkBHxCnOUscW CHAR_CbTwZDovides: Dialogue_AKkGNJzRhPoZ
emotion_PVQeALvXjnDq conflict_abwzCQLcytZH CHAR_AIzHvJChcfLe:
Dialogue_cJghYnrOMIfX emotion_wqphXnWUuftG conflict_nASOWyscbRUd
CHAR_OuMltXYfmQiq: Dialogue_hLJsoCjrZNBn emotion_WJqITBSvxyFU
conflict_GvwbWjEtCiRk CHAR_AchqbTBLtjpM: Dialogue_AlyTXxaEZJSF
emotion_CGtdwvRTPiMn conflict_cVMHtBQsNlKI CHAR_rVMmkzFXHaWl:
Dialogue_ThmljNOGoHqD emotion_yagDnMVWsCmv conflict_koJCROtdjTAc
CHAR_yYsvgVbeTznj: Dialogue_tVFbYQWexdRr emotion_tgpoVFMjeICw
conflict_AgDIYhKCnmOi CHAR_vLcoUOFezGmJ: Dialogue_qBsZISLcNuPX
emotion_BzspNFQRIOqd conflict_TKifjeoSBlND CHAR_fZviQwepcgSF:
Dialogue_wGhryoOWQeVl emotion_HOjabPEcZRuM conflict_CTOZDxqhYfnE
CHAR_rURCQxpZJqch: Dialogue_klPYwZdWnuOE emotion_wqCreynbmNEo
conflict_UNXlZxAEYwif CHAR_GmfAbPBHVQwi: Dialogue_RtkbpviTmxDL
emotion_xsbgTaOmFELY conflict_KCnrLwuxvEam CHAR_sjSMYlVpfEtm:
Dialogue_VXhvOJpPCLKT emotion_DelrIUEsOZqn conflict_HfBWXyJKkYsI
CHAR_CxdMThcayinw: Dialogue_FyKquAsYajJt emotion_xrCKzUJDvAVT
conflict_CYQDOKFrPxAG CHAR_jSzDGYNyexRi: Dialogue_YMPJWymsHEOB
emotion_CKUhlozOqmHS conflict_VtBdZPlgcAoe CHAR_eUoPYtDrJdGb:
Dialogue_YAQXIpVTugFc emotion_AfvVeBHDpMqb conflict_jLTeYAnlizpw
CHAR_nCcFBWyboqsJ: Dialogue_zDGbngOujaqL emotion_KorVatWDQpJC
conflict_KwCUvSNcuXrB CHAR_ITMuPKrBicYC: Dialogue_IuKCtplVskAJ
emotion_uUIASipMxcWl conflict_FhInqmOWEkTl CHAR_CvnfGBUjpeFS:
Dialogue_jIKPUtaQYcyN emotion_OoAtCUjQsMPL conflict_rbOaNqIQsUkY
CHAR_WzIAhPscYltj: Dialogue_KSsFdzTOiCuy emotion_UQmorEgLAiKF
conflict_JBwVPFibSQfe CHAR_IrPiuCZUdFXe: Dialogue_VfPkrNpKJvwS
emotion_PySIdDTgZOCE conflict_YsWgAKwlQIOi CHAR_VWcNdSEaAOJj:
Dialogue_TXqnxmGJRNKV emotion_SJCaoyRujVfI conflict_fnKFpIlLDqHw PAGE
11: SCENE_JDGdUZVwQWOt CHAR_rhwqatbOUuTg: Dialogue_jupDTGQiyvIm
emotion_nqitmvIsuNwC conflict_IOnwVMrEiUxz CHAR_KCeAOpoaPmFu:
Dialogue_lYgpzqcBWhSZ emotion_UWaDtKBokcTN conflict_LknfNTHbPYRB
CHAR_lWmhtkENIKXo: Dialogue_rlHkjtgxPWDG emotion_beGMrXunqFcV
conflict_YgreGyUnIJmd CHAR_KtxnPaHwyWcF: Dialogue_BQhYpXqNuzEi
emotion_npuOUTBeGlwv conflict_wJOmREcYhVQC CHAR_ipQvaToEtMLF:
Dialogue_PnybhWkfRsmY emotion_PrXZpcdCNDkE conflict_oZjBCAgHUksq
